Iteration	Total_Timesteps	AverageReward	Time
10	133354	982.0221903332313	20.87253499031067
20	318243	947.5526684877914	46.18982291221619
30	545061	930.118171707539	67.73595476150513
40	850447	907.7709846051417	99.61504292488098
50	1152356	863.2673132972839	126.03878498077393
60	1507205	867.4102121348286	159.55999875068665
70	1885565	833.6159771268162	189.87118983268738
80	2235801	745.1514301214503	224.5052788257599
90	2614918	776.9426666738337	254.4654769897461
100	2945024	689.0987158572491	287.70644998550415
110	3239596	683.0964337857508	312.96546387672424
120	3507113	607.1785977319582	342.96732902526855
130	3735434	661.1804862228913	364.37963795661926
140	3969633	460.65979311364407	391.7987959384918
