Iteration	Total_Timesteps	AverageReward	Time
10	37716	106.34283859454924	4.621882200241089
20	149546	1010.5343463359645	17.50727105140686
30	524968	1014.979765189256	31.087757110595703
40	1003746	1016.6285563139561	53.865886926651
50	1491125	1018.4012014289746	70.61389112472534
60	1979037	1018.807741482374	93.68609881401062
70	2474075	1020.9634715469517	110.70289397239685
80	2968599	1024.3318608933869	133.40907096862793
90	3464728	1025.2556668643024	149.95560121536255
100	3958800	1031.516643970926	172.7236659526825
