Iteration	Total_Timesteps	AverageReward	Time
10	20124	279.31157204110536	2.7011871337890625
20	49976	268.3276957531053	5.184143304824829
30	92556	259.80597457855424	7.360574007034302
40	145702	227.97141913771827	10.544142246246338
50	205018	224.0866791112375	13.458079099655151
60	266337	259.32612576311675	16.94909429550171
70	333778	303.25023743590435	19.95387601852417
80	404631	317.6517668673832	24.01877212524414
90	486135	359.85509249000694	27.52426815032959
100	579502	400.86356476731606	32.933653116226196
110	687243	423.37757125052224	37.906628131866455
120	824466	501.2047760988547	45.409603118896484
130	1022562	1039.7297267196946	56.05426526069641
140	1224537	1037.2129375594482	72.14547729492188
150	1461465	1033.8805827729373	84.78193616867065
160	1683530	1033.3234320643262	101.6810371875763
170	1919503	1031.85657434314	113.93912124633789
180	2174745	1031.350510076275	133.62305998802185
190	2448557	1027.9202606247916	146.98515009880066
200	2707842	1028.47038978982	164.55041527748108
210	2959872	1026.492476992025	176.66168236732483
220	3222393	1021.7980938011344	195.06727719306946
230	3471124	1020.1397938680425	207.70113110542297
240	3738348	1015.4343338581422	225.60184907913208
250	4013166	1015.0257536168834	238.6394340991974
