Iteration	Total_Timesteps	AverageReward	Time
10	146286	969.4208640239297	52.126091957092285
20	333508	962.7299731588499	113.09202027320862
30	561584	952.9883157627638	182.49977231025696
40	824432	859.8508137114985	260.25697922706604
50	1129092	854.153123788652	346.5036952495575
60	1456374	871.2658316775597	437.3619182109833
70	1796467	837.3527762808778	529.6838531494141
80	2144096	825.020392392734	624.8045592308044
90	2462946	834.045264351042	710.7556071281433
100	2794144	813.4964196573263	799.4835741519928
110	3151210	854.7157560612899	893.3017683029175
120	3488331	795.1231346800784	985.5608303546906
130	3806392	824.8890690189368	1070.9527580738068
