Iteration	Total_Timesteps	AverageReward	Time
10	23499	27.50846951433212	1.5999870300292969
20	48655	47.649182582791994	2.839268207550049
30	84729	102.49161939441828	4.460386037826538
40	131716	353.93492757950116	6.596918106079102
50	222317	489.5277657824612	9.851705074310303
60	376115	810.3064558238616	14.962332010269165
70	601777	1103.6208438368596	21.825220108032227
80	904612	1661.404486242894	31.340392112731934
90	1291211	1823.8125717522491	42.91248416900635
100	1707340	1774.3545412579392	54.96078705787659
110	2145916	1789.0721463822485	67.07027196884155
120	2602275	1730.762976063462	79.9692952632904
130	3060994	1731.4221399467888	92.90011596679688
