Iteration	Total_Timesteps	AverageReward	Time
10	20051	220.3621790772075	1.9114301204681396
20	53599	263.9703598404929	3.9271581172943115
30	104684	269.7566805902432	6.57075309753418
40	160143	273.3668366532232	9.216034173965454
50	220160	281.47768579825936	11.857392072677612
60	285443	293.0604554627765	14.808284282684326
70	351352	296.3447737216442	17.647422075271606
80	419080	315.0318284068853	20.4267840385437
90	495106	363.82312394075495	23.483867168426514
100	574326	360.47644071731537	26.625776290893555
110	659595	367.5592593222989	30.1633882522583
120	751487	375.5679588179248	33.71505522727966
130	849205	392.8883378935863	37.69182801246643
140	970567	442.02684774487744	42.56478524208069
150	1137449	613.1325880278234	49.76676917076111
160	1374208	1039.4563371099482	61.35274696350098
170	1663555	1030.3265934202122	74.69382405281067
180	1947447	1026.1958326170839	88.65545606613159
190	2211784	1023.3709789604026	101.66697907447815
200	2493617	1023.2750067896682	114.92909812927246
210	2772635	1024.2812971221597	127.92047905921936
220	3047142	1019.9885999302923	141.24296808242798
230	3308826	1017.2255912855167	154.34638118743896
240	3566494	1013.8073780643956	167.39757323265076
250	3826213	1015.0898592237489	181.14825129508972
