Iteration	Total_Timesteps	AverageReward	Time
10	135739	-20.64438629069065	54.663285970687866
20	258283	-1.1480832522970124	102.18678712844849
30	370428	-141.5987034526738	136.9209690093994
40	475235	-127.78399053900367	171.37325382232666
50	553470	-58.508633313715315	190.08665299415588
60	616428	-77.35829113789461	206.33093190193176
70	682048	-70.98568367603913	222.00367999076843
80	739411	-85.482054086768	236.05508995056152
90	773919	-38.66471037580865	243.70219588279724
100	809959	-40.666238570934404	251.73710584640503
110	843942	-52.19391543831593	259.3642919063568
120	870698	-47.991648492012125	265.87899589538574
130	900066	-52.99600973700577	272.43615317344666
140	924357	-33.471481715997726	277.8290297985077
150	943077	-39.949851253928244	281.94672894477844
160	960855	-43.89911307517386	286.18274903297424
170	987632	-54.71139685836554	292.32764291763306
180	1011727	-76.84201198251895	297.9381859302521
190	1029402	-47.70575025877718	302.1446599960327
200	1044740	-54.93943062252331	306.26562094688416
210	1060448	-45.81358318901059	310.09267592430115
220	1077166	-64.04978020863734	314.423152923584
230	1092060	-70.7134089865694	318.05331897735596
240	1104607	-104.34301634987402	321.5054910182953
250	1119588	-72.18628273323964	325.15281414985657
260	1135299	-68.54998336131548	329.148521900177
270	1149100	-49.22867852825414	332.29921889305115
280	1166285	-35.74842274694487	336.2080330848694
290	1179380	-34.33935942660161	339.1487259864807
300	1191966	-36.39052613950023	342.20950293540955
310	1206173	-35.42558224749821	345.4612228870392
320	1220514	-27.816744921935648	348.820739030838
330	1234158	-35.00108411958712	351.86448192596436
340	1248593	-40.94411000667477	355.36270904541016
350	1264529	-44.573992083742894	358.85559701919556
360	1276818	-42.69791395040215	361.8055078983307
370	1292563	-33.95500277658387	365.29333782196045
380	1305859	-30.825346496371804	368.3577799797058
390	1318150	-27.02803529806502	371.0660710334778
400	1328408	-33.771206225484995	373.55409574508667
410	1343252	-38.183352735024776	376.8894000053406
420	1351188	-50.726362611485904	379.0534248352051
430	1362560	-36.90955530582305	381.70023798942566
440	1371181	-31.989869747737508	383.8495259284973
450	1379323	-36.86650611707924	385.7977788448334
460	1392930	-29.061335363154857	389.040549993515
470	1405112	-34.7585033926352	391.81515073776245
480	1417260	-30.65437474910747	394.64815306663513
490	1429705	-32.87143003111692	397.4628460407257
500	1445301	-28.980817701033335	401.0098280906677
510	1457563	-33.46425866838992	403.8333349227905
520	1467923	-27.35494257995317	406.31453585624695
530	1478015	-58.43020306048497	409.02638006210327
540	1489012	-29.457696666884928	411.65042996406555
550	1501651	-33.572574388973834	414.48581194877625
560	1510532	-25.612268385777266	416.6779010295868
570	1529478	-74.81887784366958	421.19102692604065
580	1540934	-31.9449816798654	424.02250599861145
590	1552710	-34.48680540924119	426.68134784698486
600	1565070	-29.911207082707296	429.527841091156
610	1579444	-47.82263322059654	432.986123085022
620	1591896	-48.62406068641642	436.24003410339355
630	1604430	-31.39152288754506	439.1400570869446
640	1615678	-31.76109210005243	441.96916675567627
650	1625295	-32.6095551480564	444.17142701148987
660	1634061	-28.84652245655036	446.3955898284912
670	1646706	-28.897464022160797	449.2237310409546
680	1660014	-29.585992338525944	452.34253692626953
690	1671574	-26.759012258277792	454.9399049282074
700	1685155	-31.111374367872497	458.0887460708618
710	1693649	-34.16895137055751	460.12635588645935
720	1702121	-28.29304157308161	462.2258229255676
730	1712078	-28.707401731862028	464.49809885025024
740	1721493	-28.907074718605113	466.8383939266205
750	1732464	-26.92744954939747	469.35094714164734
760	1742863	-33.342219173440405	471.8460040092468
770	1753973	-29.634595135456117	474.32510113716125
780	1768903	-30.745104178067127	477.78374195098877
790	1778040	-28.178771849133	479.91865396499634
800	1789019	-58.7734705252647	482.71804189682007
810	1799714	-32.23025447628368	485.1844069957733
820	1811131	-33.00658628114553	487.9193890094757
830	1822495	-25.704641268997985	490.44024896621704
840	1835132	-24.693207775002396	493.3246440887451
850	1846427	-30.55749502585819	495.8631670475006
860	1853701	-31.513154905960068	497.8174059391022
870	1863475	-35.45147213972345	500.15228390693665
880	1873941	-36.71096211549217	502.7223401069641
890	1882841	-31.404097950235332	504.8005528450012
900	1892760	-29.6349139652642	507.2234628200531
910	1906752	-33.690208404450765	510.4151978492737
920	1916021	-33.69720933337501	512.6888661384583
930	1926626	-31.35304575200616	515.0557050704956
940	1936840	-28.089347018588455	517.4983370304108
950	1947354	-27.879094775236595	519.8708279132843
960	1959854	-29.662932235885293	522.7552890777588
970	1968205	-33.13676743453264	524.7382249832153
980	1976008	-27.67320839931748	526.7040278911591
990	1988068	-27.3163896510418	529.3367609977722
1000	2000000	-27.125803639300916	532.1861419677734
1010	2009590	-25.24041948654984	534.3887040615082
1020	2019421	-25.663177336393638	536.7707469463348
1030	2027589	-27.124563734641697	538.6573581695557
1040	2036748	-31.053332859315972	540.940052986145
1050	2048696	-30.256753043098982	543.6504769325256
1060	2057492	-27.2357771777574	545.81769490242
1070	2067474	-30.23827238809117	548.1213891506195
1080	2078818	-30.161689159116722	550.7848739624023
1090	2091482	-27.50401296195308	553.5443861484528
1100	2103422	-24.676434202719197	556.3043210506439
1110	2113585	-26.63217108620977	558.605682849884
1120	2125922	-34.091702087520794	561.5049159526825
1130	2134102	-30.651715944599616	563.4498031139374
1140	2148533	-30.523237865675902	566.7966368198395
1150	2157633	-27.80714420002679	568.8493869304657
1160	2166104	-26.656193934715667	570.9537620544434
1170	2177138	-31.072427608012685	573.4197499752045
1180	2185987	-29.967177808761498	575.5643949508667
1190	2199774	-37.40983758605376	578.6227660179138
1200	2210065	-33.74307631529305	581.137711763382
1210	2224577	-27.49889281322397	584.308089017868
1220	2236175	-29.894722390585976	587.041356086731
1230	2249647	-29.354544462346844	590.0152440071106
1240	2258936	-31.03473170198134	592.2480368614197
1250	2270130	-30.92742780550226	594.7808609008789
1260	2282585	-54.01886803753258	598.0121538639069
1270	2298034	-56.542557457956384	601.5791909694672
1280	2318020	-48.02499898490187	606.2226779460907
1290	2334137	-35.76672109494795	609.801656961441
1300	2346330	-38.99047352801618	612.7608740329742
1310	2358320	-33.02497502353594	615.5018889904022
1320	2366307	-40.928699755417604	617.7516779899597
1330	2376709	-32.63664698029069	620.1455218791962
1340	2390051	-46.2714095273283	623.4332327842712
1350	2400958	-53.89965774004012	626.1784760951996
1360	2412732	-52.25822687372267	629.283126115799
1370	2424908	-34.45518094205898	632.085529088974
1380	2439406	-32.48270375400532	635.3936760425568
1390	2451507	-31.26760321904629	638.0571389198303
1400	2463921	-37.30337151648971	641.0130839347839
1410	2477347	-38.112433418512026	644.1281001567841
1420	2484861	-35.05977202541144	646.0557520389557
1430	2498521	-33.16592257476904	649.1421208381653
1440	2508611	-51.91886995957362	651.8156988620758
1450	2520410	-29.35600219000853	654.486475944519
1460	2533000	-32.53226318932953	657.4156930446625
1470	2544633	-29.00980357931011	660.046315908432
1480	2556193	-32.08354568514329	662.9072918891907
1490	2565615	-32.631969512293736	665.0731678009033
1500	2578877	-35.56197151129867	668.1094779968262
1510	2586690	-28.606387454996103	669.9422850608826
1520	2595745	-32.342270487339995	672.1559827327728
1530	2606267	-32.13209681946531	674.5984771251678
1540	2615763	-28.416990717344298	676.9960489273071
1550	2624309	-29.558121415383507	678.9630079269409
1560	2634823	-30.366557461782385	681.5181310176849
1570	2643041	-36.563645495605684	683.5824031829834
1580	2653074	-33.14202300864844	686.0116090774536
1590	2662656	-54.31900618674707	688.4129798412323
1600	2672477	-28.09880041106885	690.7589159011841
1610	2684046	-32.162981428204716	693.4268429279327
1620	2698325	-35.1957529763945	696.7979400157928
1630	2709782	-28.163378508127384	699.4145519733429
1640	2720397	-30.347374191356813	701.9733769893646
1650	2730955	-28.734309297823575	704.3694109916687
1660	2742321	-28.450346059035123	707.1313879489899
1670	2757254	-32.16607311729913	710.439661026001
1680	2770543	-51.378016525055685	713.7789680957794
1690	2780590	-68.23749869079913	716.494756937027
1700	2791895	-28.839942664673114	719.1638519763947
1710	2802857	-31.024758118182746	721.7388958930969
1720	2811756	-31.833510266322374	723.9635949134827
1730	2824096	-25.779563058148984	726.7686710357666
1740	2837615	-28.248872840696652	729.9330608844757
1750	2851416	-39.90681552584018	733.1695559024811
1760	2865127	-29.30046213102997	736.3967289924622
1770	2882228	-31.719179071839626	740.1470029354095
1780	2893377	-30.271975668141874	742.7734799385071
1790	2903551	-53.59824627187488	745.3322389125824
1800	2919849	-29.86166774843517	749.0173079967499
1810	2930374	-31.747152316134837	751.4753348827362
1820	2939611	-34.74615807017221	753.7169599533081
