Iteration	Total_Timesteps	AverageReward	Time
10	19592	258.78026810830653	4.874087810516357
20	51195	287.7723795244463	10.550313949584961
30	100063	287.1719375603338	17.348585844039917
40	159582	292.44303310357645	25.78536081314087
50	223315	299.92727728797723	33.872309923172
60	287763	300.027252884632	42.85056781768799
70	355919	309.7594109413609	51.44383883476257
80	429211	326.2692583904966	61.434699058532715
90	503630	320.6414672084752	70.76673984527588
100	586622	347.32421539248986	82.32083201408386
110	675367	366.27661980106876	93.4713568687439
120	765457	369.4345062547742	105.63183093070984
130	866336	390.9201804077348	118.2068338394165
140	997719	471.743632777935	136.79376792907715
150	1154452	654.9760098492885	158.48002290725708
160	1389394	1020.1229294323441	198.98688101768494
170	1651550	1019.8582200213658	237.76506686210632
180	1933327	1017.5358898321938	283.6396679878235
190	2188744	1017.4011706881687	321.7830538749695
200	2440587	1014.3509789187082	365.0116810798645
210	2680361	1014.6259609360476	402.06111884117126
220	2911321	1011.6285306550833	442.7031319141388
230	3144716	1011.0112121528113	478.3928210735321
240	3398682	1010.9718507353433	521.3915300369263
250	3673876	1010.596496959941	561.6017417907715
260	3936183	1007.3729281587783	606.138505935669
